birthday,unique_city,avg_postcode,median_postcode
2024-01-01 00:00:00,21,51231.333333333336,62988.0
2024-01-01 03:00:00,22,58529.045454545456,61560.0
2024-01-01 04:00:00,16,56888.625,50516.5
2024-01-01 05:00:00,24,63302.958333333336,68994.5
2024-01-01 06:00:00,20,41941.8,45048.5
2024-01-01 07:00:00,24,59949.958333333336,62545.5
2024-01-01 08:00:00,20,54788.55,55564.0
2024-01-01 09:00:00,13,47958.38461538462,50946.0
2024-01-01 10:00:00,21,54498.09523809524,53399.0
2024-01-01 11:00:00,13,51947.92307692308,45931.0
2024-01-01 12:00:00,20,42108.05,41514.5
2024-01-01 13:00:00,16,45424.0,36330.0
2024-01-01 14:00:00,16,58089.6875,62409.0
2024-01-01 15:00:00,19,50644.26315789474,55836.0
2024-01-01 16:00:00,13,49747.61538461538,58683.0
2024-01-01 17:00:00,28,46404.857142857145,49963.0
2024-01-01 18:00:00,12,62312.916666666664,63986.5
2024-01-01 19:00:00,24,62218.541666666664,69853.0
2024-01-01 20:00:00,23,45546.86956521739,42944.0
2024-01-01 21:00:00,21,53562.23809523809,55366.0
2024-01-01 22:00:00,25,51647.16,49111.0
2024-01-01 23:00:00,22,44082.181818181816,40211.5
2024-01-02 00:00:00,25,59818.68,65527.0
2024-01-02 03:00:00,15,49537.2,45542.0
2024-01-02 04:00:00,16,41008.3125,38093.0
2024-01-02 05:00:00,23,49867.434782608696,53047.0
2024-01-02 06:00:00,22,41132.36363636364,41555.5
2024-01-02 07:00:00,19,55720.05263157895,57754.0
2024-01-02 08:00:00,15,42757.13333333333,44186.0
2024-01-02 09:00:00,14,42827.07142857143,33781.0
2024-01-02 10:00:00,23,52229.565217391304,55406.0
2024-01-02 11:00:00,17,49854.882352941175,52719.0
2024-01-02 12:00:00,8,52595.25,45780.5
2024-01-02 13:00:00,18,45935.666666666664,42312.0
2024-01-02 14:00:00,22,54179.59090909091,58749.5
2024-01-02 15:00:00,22,54052.318181818184,56426.0
2024-01-02 16:00:00,20,54303.25,53291.5
2024-01-02 17:00:00,19,61964.36842105263,65356.0
2024-01-02 18:00:00,15,45919.666666666664,32951.0
2024-01-02 19:00:00,14,48649.857142857145,46762.0
2024-01-02 20:00:00,23,55460.13043478261,52344.0
2024-01-02 21:00:00,26,44981.769230769234,42246.0
2024-01-02 22:00:00,29,63024.89655172414,65340.0
2024-01-02 23:00:00,24,42217.416666666664,38877.5
2024-01-03 00:00:00,11,48351.27272727273,41196.0
2024-01-03 03:00:00,28,59700.78571428572,66469.5
2024-01-03 04:00:00,21,54866.90476190476,58200.0
2024-01-03 05:00:00,29,49487.93103448276,48416.0
2024-01-03 06:00:00,23,49628.391304347824,39789.0
2024-01-03 07:00:00,18,60795.055555555555,67011.5
2024-01-03 08:00:00,15,42899.86666666667,38635.0
2024-01-03 09:00:00,23,45717.739130434784,43770.0
2024-01-03 10:00:00,13,46544.0,44115.0
2024-01-03 11:00:00,15,52022.4,57163.0
2024-01-03 12:00:00,21,51295.09523809524,60932.0
2024-01-03 13:00:00,25,56567.76,65209.0
2024-01-03 14:00:00,18,49100.22222222222,48241.5
2024-01-03 15:00:00,21,37256.42857142857,36006.0
2024-01-03 16:00:00,18,44552.666666666664,32503.0
2024-01-03 17:00:00,23,53819.217391304344,62368.0
2024-01-03 18:00:00,15,51187.8,52532.0
2024-01-03 19:00:00,25,57782.84,63768.0
2024-01-03 20:00:00,17,42990.05882352941,28171.0
2024-01-03 21:00:00,14,58525.642857142855,58811.0
2024-01-03 22:00:00,19,55423.52631578947,57848.0
2024-01-03 23:00:00,17,38447.470588235294,29095.0
2024-01-04 00:00:00,19,46399.42105263158,36244.0
2024-01-04 03:00:00,27,49171.7037037037,52869.0
2024-01-04 04:00:00,22,49538.59090909091,53737.5
2024-01-04 05:00:00,30,49502.4,53228.5
2024-01-04 06:00:00,16,62177.5,64394.5
2024-01-04 07:00:00,19,53228.57894736842,60752.0
2024-01-04 08:00:00,15,47843.26666666667,54883.0
2024-01-04 09:00:00,23,47660.95652173913,47700.0
2024-01-04 10:00:00,24,58536.708333333336,61667.5
2024-01-04 11:00:00,19,57404.94736842105,67965.0
2024-01-04 12:00:00,26,40924.230769230766,42344.0
2024-01-04 13:00:00,17,51978.35294117647,63688.0
2024-01-04 14:00:00,24,57508.208333333336,62018.0
2024-01-04 15:00:00,17,36265.17647058824,29363.0
2024-01-04 16:00:00,15,49287.066666666666,43202.0
2024-01-04 17:00:00,14,46570.857142857145,45954.5
2024-01-04 18:00:00,18,46625.11111111111,47520.0
2024-01-04 19:00:00,20,45907.1,41420.5
2024-01-04 20:00:00,14,39407.5,37245.5
2024-01-04 21:00:00,23,45496.913043478264,48847.0
2024-01-04 22:00:00,24,57771.208333333336,57247.0
2024-01-04 23:00:00,25,47711.4,47892.0
2024-01-05 00:00:00,18,54397.88888888889,60604.5
2024-01-05 03:00:00,26,38867.42307692308,26888.5
2024-01-05 04:00:00,20,49210.95,48465.5
